2020-01-15T22:19:54.591-0800 [main] Starting OrderConsumerApplication on C02PW5F0G8WP with PID 43966 (/Users/nchapa/Documents/Test/order-consumer/target/classes started by nchapa in /Users/nchapa/Documents/Test/order-consumer)
2020-01-15T22:19:54.594-0800 [main] No active profile set, falling back to default profiles: default
2020-01-15T22:19:54.757-0800 [background-preinit] HV000001: Hibernate Validator 5.2.4.Final
2020-01-15T22:19:57.459-0800 [main] Started OrderConsumerApplication in 3.228 seconds (JVM running for 6.452)
2020-01-15T22:20:00.454-0800 [Timer-3] Driver picked up order: Order: [name: Vegan Pizza, temp: hot, shelfLife: 200.0, decayRate: 0.7 ]
2020-01-15T22:20:04.454-0800 [Timer-4] Driver picked up order: Order: [name: Fudge Ice Cream Cake, temp: frozen, shelfLife: 415.0, decayRate: 0.49 ]
2020-01-15T22:20:05.388-0800 [Timer-15] Driver picked up order: Order: [name: Vanilla Ice Cream, temp: frozen, shelfLife: 310.0, decayRate: 0.35 ]
2020-01-15T22:20:06.161-0800 [Timer-9] Driver picked up order: Order: [name: Sushi, temp: cold, shelfLife: 251.0, decayRate: 0.25 ]
2020-01-15T22:20:06.373-0800 [Timer-8] Driver picked up order: Order: [name: Orange Sorbet, temp: frozen, shelfLife: 165.0, decayRate: 0.65 ]
2020-01-15T22:20:06.454-0800 [Timer-5] Driver picked up order: Order: [name: Cheese, temp: cold, shelfLife: 255.0, decayRate: 0.2 ]
2020-01-15T22:20:06.454-0800 [Timer-2] Driver picked up order: Order: [name: Poppers, temp: hot, shelfLife: 204.0, decayRate: 0.78 ]
2020-01-15T22:20:07.168-0800 [Timer-6] Driver picked up order: Order: [name: Pickles, temp: cold, shelfLife: 259.0, decayRate: 0.29 ]
2020-01-15T22:20:07.171-0800 [Timer-22] Driver picked up order: Order: [name: Ice, temp: frozen, shelfLife: 100.0, decayRate: 0.9 ]
2020-01-15T22:20:07.373-0800 [Timer-7] Driver picked up order: Order: [name: Vegan Pizza, temp: hot, shelfLife: 200.0, decayRate: 0.7 ]
2020-01-15T22:20:07.378-0800 [Timer-17] Driver picked up order: Order: [name: Orange Chicken, temp: hot, shelfLife: 215.0, decayRate: 0.67 ]
2020-01-15T22:20:07.454-0800 [Timer-1] Driver picked up order: Order: [name: Chocolate Gelato, temp: frozen, shelfLife: 300.0, decayRate: 0.61 ]
2020-01-15T22:20:08.169-0800 [Timer-16] Driver picked up order: Order: [name: Mint Chocolate Ice Cream, temp: frozen, shelfLife: 290.0, decayRate: 0.5 ]
2020-01-15T22:20:08.173-0800 [Timer-23] Driver picked up order: Order: [name: Pasta, temp: hot, shelfLife: 200.0, decayRate: 0.7 ]
2020-01-15T22:20:08.376-0800 [Timer-20] Driver picked up order: Order: [name: French Fries, temp: hot, shelfLife: 220.0, decayRate: 0.67 ]
2020-01-15T22:20:08.377-0800 [Timer-11] Driver picked up order: Order: [name: Pistachio Ice Cream, temp: frozen, shelfLife: 175.0, decayRate: 0.4 ]
2020-01-15T22:20:08.454-0800 [Timer-0] Driver picked up order: Order: [name: Pressed Juice, temp: cold, shelfLife: 250.0, decayRate: 0.2 ]
2020-01-15T22:20:09.377-0800 [Timer-21] Driver picked up order: Order: [name: Chicken Nuggets, temp: hot, shelfLife: 205.0, decayRate: 0.71 ]
2020-01-15T22:20:09.379-0800 [Timer-18] Driver picked up order: Order: [name: Kale Salad, temp: cold, shelfLife: 250.0, decayRate: 0.25 ]
2020-01-15T22:20:09.388-0800 [Timer-34] Driver picked up order: Order: [name: Orange Sorbet, temp: frozen, shelfLife: 165.0, decayRate: 0.65 ]
2020-01-15T22:20:09.388-0800 [Timer-25] Driver picked up order: Order: [name: Popsicle, temp: frozen, shelfLife: 345.0, decayRate: 0.75 ]
2020-01-15T22:20:10.170-0800 [Timer-19] Driver picked up order: Order: [name: McFlury, temp: frozen, shelfLife: 375.0, decayRate: 0.4 ]
2020-01-15T22:20:10.174-0800 [Timer-26] Driver picked up order: Order: [name: Carne Asada, temp: hot, shelfLife: 222.0, decayRate: 0.71 ]
2020-01-15T22:20:10.178-0800 [Timer-29] Driver picked up order: Order: [name: French Fries, temp: hot, shelfLife: 220.0, decayRate: 0.67 ]
2020-01-15T22:20:10.391-0800 [Timer-38] Driver picked up order: Order: [name: Arugula, temp: cold, shelfLife: 251.0, decayRate: 0.27 ]
2020-01-15T22:20:11.378-0800 [Timer-12] Driver picked up order: Order: [name: Corn Dog, temp: hot, shelfLife: 203.0, decayRate: 0.3 ]
2020-01-15T22:20:11.382-0800 [Timer-27] Driver picked up order: Order: [name: Carne Asada, temp: hot, shelfLife: 222.0, decayRate: 0.71 ]
2020-01-15T22:20:11.390-0800 [Timer-14] Driver picked up order: Order: [name: Yogurt, temp: cold, shelfLife: 400.0, decayRate: 0.67 ]
2020-01-15T22:20:12.163-0800 [Timer-10] Driver picked up order: Order: [name: Apples, temp: cold, shelfLife: 244.0, decayRate: 0.23 ]
2020-01-15T22:20:12.382-0800 [Timer-28] Driver picked up order: Order: [name: Vegan Pizza, temp: hot, shelfLife: 200.0, decayRate: 0.7 ]
2020-01-15T22:20:12.388-0800 [Timer-30] Driver picked up order: Order: [name: Frosty, temp: frozen, shelfLife: 135.0, decayRate: 0.52 ]
2020-01-15T22:20:13.164-0800 [Timer-13] Driver picked up order: Order: [name: Sushi, temp: cold, shelfLife: 251.0, decayRate: 0.25 ]
2020-01-15T22:20:13.387-0800 [Timer-24] Driver picked up order: Order: [name: Frosty, temp: frozen, shelfLife: 135.0, decayRate: 0.52 ]
2020-01-15T22:20:13.391-0800 [Timer-31] Driver picked up order: Order: [name: Ice Cream Sandwich, temp: frozen, shelfLife: 250.0, decayRate: 0.5 ]
2020-01-15T22:20:13.407-0800 [Timer-47] Driver picked up order: Order: [name: Frosty, temp: frozen, shelfLife: 135.0, decayRate: 0.52 ]
2020-01-15T22:20:14.199-0800 [Timer-32] Driver picked up order: Order: [name: Brown Rice, temp: hot, shelfLife: 224.0, decayRate: 0.64 ]
2020-01-15T22:20:14.388-0800 [Timer-44] Driver picked up order: Order: [name: Chicken, temp: hot, shelfLife: 201.0, decayRate: 0.74 ]
2020-01-15T22:20:15.187-0800 [Timer-45] Driver picked up order: Order: [name: Tomato Soup, temp: hot, shelfLife: 243.0, decayRate: 0.71 ]
2020-01-15T22:20:15.392-0800 [Timer-43] Driver picked up order: Order: [name: Beef Hash, temp: hot, shelfLife: 30.0, decayRate: 0.74 ]
2020-01-15T22:20:15.394-0800 [Timer-40] Driver picked up order: Order: [name: Push Pop, temp: frozen, shelfLife: 220.0, decayRate: 0.5 ]
2020-01-15T22:20:15.397-0800 [Timer-41] Driver picked up order: Order: [name: Orange Chicken, temp: hot, shelfLife: 215.0, decayRate: 0.67 ]
2020-01-15T22:20:16.155-0800 [Timer-35] Driver picked up order: Order: [name: Fudge Ice Cream Cake, temp: frozen, shelfLife: 415.0, decayRate: 0.49 ]
2020-01-15T22:20:16.180-0800 [Timer-39] Driver picked up order: Order: [name: Fresh Bread, temp: hot, shelfLife: 201.0, decayRate: 0.9 ]
2020-01-15T22:20:16.191-0800 [Timer-49] Driver picked up order: Order: [name: Orange Sorbet, temp: frozen, shelfLife: 165.0, decayRate: 0.65 ]
2020-01-15T22:20:17.201-0800 [Timer-55] Driver picked up order: Order: [name: Arugula, temp: cold, shelfLife: 251.0, decayRate: 0.27 ]
2020-01-15T22:20:17.387-0800 [Timer-33] Driver picked up order: Order: [name: Sushi, temp: cold, shelfLife: 251.0, decayRate: 0.25 ]
2020-01-15T22:20:17.394-0800 [Timer-51] Driver picked up order: Order: [name: Carne Asada, temp: hot, shelfLife: 222.0, decayRate: 0.71 ]
2020-01-15T22:20:17.401-0800 [Timer-56] Driver picked up order: Order: [name: Pistachio Ice Cream, temp: frozen, shelfLife: 175.0, decayRate: 0.4 ]
2020-01-15T22:20:17.403-0800 [Timer-53] Driver picked up order: Order: [name: Cranberry Salad, temp: cold, shelfLife: 245.0, decayRate: 0.21 ]
2020-01-15T22:20:17.411-0800 [Timer-60] Driver picked up order: Order: [name: Arugula, temp: cold, shelfLife: 251.0, decayRate: 0.27 ]
2020-01-15T22:20:18.187-0800 [Timer-42] Driver picked up order: Order: [name: French Fries, temp: hot, shelfLife: 220.0, decayRate: 0.67 ]
2020-01-15T22:20:18.388-0800 [Timer-37] Driver picked up order: Order: [name: MeatLoaf, temp: hot, shelfLife: 213.0, decayRate: 0.5 ]
2020-01-15T22:20:18.395-0800 [Timer-50] Driver picked up order: Order: [name: Fresh Bread, temp: hot, shelfLife: 201.0, decayRate: 0.9 ]
2020-01-15T22:20:18.407-0800 [Timer-46] Driver picked up order: Order: [name: Cookie Dough, temp: frozen, shelfLife: 600.0, decayRate: 0.15 ]
2020-01-15T22:20:19.213-0800 [Timer-65] Driver picked up order: Order: [name: Mint Chocolate Ice Cream, temp: frozen, shelfLife: 290.0, decayRate: 0.5 ]
2020-01-15T22:20:20.187-0800 [Timer-36] Driver picked up order: Order: [name: Fudge Ice Cream Cake, temp: frozen, shelfLife: 415.0, decayRate: 0.49 ]
2020-01-15T22:20:20.399-0800 [Timer-57] Driver picked up order: Order: [name: Mixed Greens, temp: cold, shelfLife: 252.0, decayRate: 0.26 ]
2020-01-15T22:20:20.404-0800 [Timer-64] Driver picked up order: Order: [name: French Fries, temp: hot, shelfLife: 220.0, decayRate: 0.67 ]
2020-01-15T22:20:20.408-0800 [Timer-69] Driver picked up order: Order: [name: Orange Chicken, temp: hot, shelfLife: 215.0, decayRate: 0.67 ]
2020-01-15T22:20:21.159-0800 [Timer-48] Driver picked up order: Order: [name: Chicken, temp: hot, shelfLife: 201.0, decayRate: 0.74 ]
2020-01-15T22:20:21.203-0800 [Timer-62] Driver picked up order: Order: [name: Burrito, temp: hot, shelfLife: 202.0, decayRate: 0.72 ]
2020-01-15T22:20:22.396-0800 [Timer-54] Driver picked up order: Order: [name: Icy, temp: frozen, shelfLife: 230.0, decayRate: 0.6 ]
2020-01-15T22:20:22.409-0800 [Timer-59] Driver picked up order: Order: [name: Ice, temp: frozen, shelfLife: 100.0, decayRate: 0.9 ]
2020-01-15T22:20:23.217-0800 [Timer-68] Driver picked up order: Order: [name: McFlury, temp: frozen, shelfLife: 372.0, decayRate: 0.45 ]
2020-01-15T22:20:23.410-0800 [Timer-73] Driver picked up order: Order: [name: Beef Stew, temp: hot, shelfLife: 206.0, decayRate: 0.69 ]
2020-01-15T22:20:23.414-0800 [Timer-67] Driver picked up order: Order: [name: Pasta, temp: hot, shelfLife: 200.0, decayRate: 0.7 ]
2020-01-15T22:20:24.408-0800 [Timer-72] Driver picked up order: Order: [name: Cobb Salad, temp: cold, shelfLife: 263.0, decayRate: 0.2 ]
2020-01-15T22:20:25.195-0800 [Timer-52] Driver picked up order: Order: [name: Strawberyy Banana Split, temp: frozen, shelfLife: 24.0, decayRate: 0.6 ]
2020-01-15T22:20:25.403-0800 [Timer-63] Driver picked up order: Order: [name: Icy, temp: frozen, shelfLife: 230.0, decayRate: 0.6 ]
2020-01-15T22:20:25.416-0800 [Timer-82] Driver picked up order: Order: [name: Pressed Juice, temp: cold, shelfLife: 250.0, decayRate: 0.2 ]
2020-01-15T22:20:25.418-0800 [Timer-83] Driver picked up order: Order: [name: McFlury, temp: frozen, shelfLife: 372.0, decayRate: 0.45 ]
2020-01-15T22:20:26.203-0800 [Timer-58] Driver picked up order: Order: [name: Snow Cone, temp: frozen, shelfLife: 50.0, decayRate: 0.86 ]
2020-01-15T22:20:26.227-0800 [Timer-71] Driver picked up order: Order: [name: Coconut, temp: cold, shelfLife: 254.0, decayRate: 0.22 ]
2020-01-15T22:20:27.156-0800 [Timer-61] Driver picked up order: Order: [name: Chocolate Gelato, temp: frozen, shelfLife: 308.0, decayRate: 0.67 ]
2020-01-15T22:20:27.409-0800 [Timer-90] Driver picked up order: Order: [name: Apples, temp: cold, shelfLife: 244.0, decayRate: 0.23 ]
2020-01-15T22:20:27.416-0800 [Timer-92] Driver picked up order: Order: [name: Beef Hash, temp: hot, shelfLife: 30.0, decayRate: 0.74 ]
2020-01-15T22:20:28.221-0800 [Timer-81] Driver picked up order: Order: [name: Carne Asada, temp: hot, shelfLife: 222.0, decayRate: 0.71 ]
2020-01-15T22:20:28.406-0800 [Timer-70] Driver picked up order: Order: [name: Coke, temp: cold, shelfLife: 240.0, decayRate: 0.25 ]
2020-01-15T22:20:29.163-0800 [Timer-87] Driver picked up order: Order: [name: Chunky Monkey, temp: frozen, shelfLife: 210.0, decayRate: 0.54 ]
2020-01-15T22:20:29.237-0800 [Timer-94] Driver picked up order: Order: [name: Apples, temp: cold, shelfLife: 244.0, decayRate: 0.23 ]
2020-01-15T22:20:29.412-0800 [Timer-66] Driver picked up order: Order: [name: Orange Sorbet, temp: frozen, shelfLife: 165.0, decayRate: 0.65 ]
2020-01-15T22:20:29.412-0800 [Timer-89] Driver picked up order: Order: [name: Pad See Ew, temp: hot, shelfLife: 210.0, decayRate: 0.72 ]
2020-01-15T22:20:29.415-0800 [Timer-76] Driver picked up order: Order: [name: Strawberyy Banana Split, temp: frozen, shelfLife: 24.0, decayRate: 0.6 ]
2020-01-15T22:20:30.161-0800 [Timer-74] Driver picked up order: Order: [name: Yogurt, temp: cold, shelfLife: 263.0, decayRate: 0.37 ]
2020-01-15T22:20:30.230-0800 [Timer-91] Driver picked up order: Order: [name: Grilled Corn Salad, temp: cold, shelfLife: 305.0, decayRate: 0.1 ]
2020-01-15T22:20:30.407-0800 [Timer-80] Driver picked up order: Order: [name: Cookie Dough, temp: frozen, shelfLife: 600.0, decayRate: 0.15 ]
2020-01-15T22:20:30.409-0800 [Timer-86] Driver picked up order: Order: [name: Grilled Corn Salad, temp: cold, shelfLife: 305.0, decayRate: 0.1 ]
2020-01-15T22:20:31.418-0800 [Timer-99] Driver picked up order: Order: [name: Ice, temp: frozen, shelfLife: 100.0, decayRate: 0.9 ]
