2020-01-15T22:19:57.352-0800 [pool-1-thread-3] Customer Placed order: Order: [name: Fudge Ice Cream Cake, temp: frozen, shelfLife: 415.0, decayRate: 0.49 ]
2020-01-15T22:19:57.352-0800 [pool-1-thread-1] Customer Placed order: Order: [name: Pressed Juice, temp: cold, shelfLife: 250.0, decayRate: 0.2 ]
2020-01-15T22:19:57.352-0800 [pool-1-thread-2] Customer Placed order: Order: [name: Cheese, temp: cold, shelfLife: 255.0, decayRate: 0.2 ]
2020-01-15T22:19:58.141-0800 [pool-1-thread-3] Customer Placed order: Order: [name: Poppers, temp: hot, shelfLife: 204.0, decayRate: 0.78 ]
2020-01-15T22:19:58.349-0800 [pool-1-thread-1] Customer Placed order: Order: [name: Chocolate Gelato, temp: frozen, shelfLife: 300.0, decayRate: 0.61 ]
2020-01-15T22:19:58.349-0800 [pool-1-thread-2] Customer Placed order: Order: [name: Vegan Pizza, temp: hot, shelfLife: 200.0, decayRate: 0.7 ]
2020-01-15T22:19:59.144-0800 [pool-1-thread-3] Customer Placed order: Order: [name: Pickles, temp: cold, shelfLife: 259.0, decayRate: 0.29 ]
2020-01-15T22:19:59.354-0800 [pool-1-thread-1] Customer Placed order: Order: [name: Vegan Pizza, temp: hot, shelfLife: 200.0, decayRate: 0.7 ]
2020-01-15T22:19:59.354-0800 [pool-1-thread-2] Customer Placed order: Order: [name: Orange Sorbet, temp: frozen, shelfLife: 165.0, decayRate: 0.65 ]
2020-01-15T22:20:00.138-0800 [pool-1-thread-3] Customer Placed order: Order: [name: Sushi, temp: cold, shelfLife: 251.0, decayRate: 0.25 ]
2020-01-15T22:20:00.144-0800 [pool-1-thread-1] Customer Placed order: Order: [name: Apples, temp: cold, shelfLife: 244.0, decayRate: 0.23 ]
2020-01-15T22:20:00.358-0800 [pool-1-thread-2] Customer Placed order: Order: [name: Pistachio Ice Cream, temp: frozen, shelfLife: 175.0, decayRate: 0.4 ]
2020-01-15T22:20:00.363-0800 [pool-1-thread-3] Customer Placed order: Order: [name: Corn Dog, temp: hot, shelfLife: 203.0, decayRate: 0.3 ]
2020-01-15T22:20:01.146-0800 [pool-1-thread-1] Customer Placed order: Order: [name: Sushi, temp: cold, shelfLife: 251.0, decayRate: 0.25 ]
2020-01-15T22:20:01.359-0800 [pool-1-thread-2] Customer Placed order: Order: [name: Yogurt, temp: cold, shelfLife: 400.0, decayRate: 0.67 ]
2020-01-15T22:20:01.359-0800 [pool-1-thread-3] Customer Placed order: Order: [name: Vanilla Ice Cream, temp: frozen, shelfLife: 310.0, decayRate: 0.35 ]
